Number of elements: 2224 
Elements name, Alias, Datatype, Variable group name, Initial value, type of element, comment 
DEVICE1.FBU_SFC_LD.FBU_LD.X020_25,’020_25,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X020_2,’020_2,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.YVM24BI,”¬Ã24¡»,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.Y2,”2,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X014_19,’014_19,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X012_39,’012_39,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X012_28,’012_28,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X012_17,’012_17,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X011_16,’011_16,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.YM3P1_2,”Ã3œ1_2,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.YM2P1_3,”Ã2œ1_3,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X011_27,’011_27,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.XB,’¡,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X011_38,’011_38,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.YSTT2,”—““2,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X008_40,’008_40,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.YMPIT2,”Ãœ»“2,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.YVIP1M,”¬»œ1Ã,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X3KY59,’3 ”59,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X3KY48,’3 ”48,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.H3246,H3246,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.XRK8A,X– 8A,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.H323F,H323F,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X3KY37,’3 ”37,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.H3235,H3235,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.H320C,H320C,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.H321D,H321D,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.H3202,H3202,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.KYBY50, ”¡”50,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.H2245,H2245,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.XRK9B,X– 9B,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.H2201,H2201,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.H223E,H223E,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.H2212,H2212,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.H2278,H2278,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.H2267,H2267,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X4KY14,’4 ”14,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.H4214,H4214,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.H4203,H4203,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.H421E,H421E,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.H121B,H121B,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.H1222,H1222,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.H120A,H120A,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X1KY17,’1 ”17,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.XRK09,X– 09,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.KYBY83, ”¡”83,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X3KY15,’3 ”15,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.ZGK1,Z√ 1,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X3KY0E,’3 ”0E,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.ZPOS2,ZœŒ—2,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X3KY04,’3 ”04,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X2KY38,’2 ”38,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X2KY49,’2 ”49,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.ZVKLD4,Z¬ Àƒ4,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X2KY05,’2 ”05,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.ZPND5,ZœÕƒ5,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X2KY0F,’2 ”0F,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X2KY16,’2 ”16,BOOL,,,1,0,""
