Number of elements: 2224 
Elements name, Alias, Datatype, Variable group name, Initial value, type of element, comment 
DEVICE1.FBU_SFC_LD.FBU_LD.X060_12,’060_12,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.RDNS1,–ƒÕ—1,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.YPZV2P,”œ«¬2œ,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X056_1,’056_1,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.YVKLD5,”¬ Àƒ5,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X051_25,’051_25,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X050_35,’050_35,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.YKPROJ,” œ–Œ∆,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X050_24,’050_24,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X050_13,’050_13,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.YOBWRRD,”Œ¡Ÿ––ƒ,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.XRD1D2R,’–ƒ1ƒ2–,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.XRD2D1R,’–ƒ2ƒ1–,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.YOKYDK3,”Œ ”ƒ 3,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.YONGD3,”ŒÕ√ƒ3,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.YNGD3R,”Õ√ƒ3–,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X045_1,’045_1,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X044_2,’044_2,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X044_29,’044_29,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.YPW4BS_TM,”œÿ4¡—_“Ã,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X034_19,’034_19,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X034_1,’034_1,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X031_4,’031_4,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X028_40,’028_40,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.YMPK22_2,”Ãœ 22_2,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.YMPK11_2,”Ãœ 11_2,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X022_2,’022_2,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.Y3P1_2TM,”3œ1_2“Ã,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.Y2P1_2TM,”2œ1_2“Ã,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X022_29,’022_29,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.YZTREVTM,”«“–≈¬“Ã,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.YTREVBYTM,”“–≈¬¡”“Ã,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.NK7B,Õ 7¡,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X020_27,’020_27,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X020_4,’020_4,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.YKO1A,” Œ1A,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X018_30,’018_30,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.YVRASO2,”¬–¿—Œ2,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.YTSKO,”“— Œ,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.Y4,”4,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X012_19,’012_19,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X012_1,’012_1,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X011_18,’011_18,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X011_29,’011_29,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.XOPRD,’Œœ–ƒ,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X011_2,’011_2,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.YCPM2,”÷œÃ2,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.YMREK1,”Ã–› 1,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.YMKO2,”Ã Œ2,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.H3259,H3259,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.H3248,H3248,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.XRK8C,X– 8C,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X3KY39,’3 ”39,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.H3237,H3237,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.H3204,H3204,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.XRK6A,X– 6A,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.XRK7B,X– 7B,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.H2258,H2258,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.H2203,H2203,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.H2214,H2214,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.XRK9D,X– 9D,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.H221E,H221E,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.H220D,H220D,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.H2269,H2269,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.H4205,H4205,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X4KY16,’4 ”16,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.H4216,H4216,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.H1213,H1213,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X1KY19,’1 ”19,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X3KY17,’3 ”17,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.ZGK3,Z√ 3,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X3KY06,’3 ”06,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.ZVKLD6,Z¬ Àƒ6,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X2KY07,’2 ”07,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X2KY18,’2 ”18,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.ZV2PRA2,Z¬2œ–¿2,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X4KY05,’4 ”05,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.YMPK12_1,”Ãœ 12_1,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.ZVWR,Z¬ÿ–,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X1KY08,’1 ”08,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.XON,’ŒÕ,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.Z1P,Z1œ,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.XVM51,’¬Ã51,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X5KY0E,X5 ”0E,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.ZMREK2,ZÃ–› 2,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.XRK71,X– 71,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.ZMKO1,ZÃ Œ1,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.XRK60,X– 60,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.ZBLSTT,Z¡À—““,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.ZCPM1,Z÷œÃ1,BOOL,,,1,0,""
S4,,,,,1,8,""
14,,,,,1,8,""
6,,,,,1,8,""
DEVICE1.FBU_SFC_LD.FBU_LD.__TESTP,__TESTP,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.__OGK2,__OGK2,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.__OND5,__OND5,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.__VDND1,__VDND1,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.__ONBU,__ONBU,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.XA1P2,’A1œ2,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X061_36,’061_36,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.XB1O2,’B1Œ2,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.XB2P2,’B2œ2,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X061_25,’061_25,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.XA1O1,’A1Œ1,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.XA2P1,’A2œ1,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X061_14,’061_14,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.XB2O1,’B2Œ1,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.YRDNS_TM,”–ƒÕ—_“Ã,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.YVYDM3,”¬”ƒÃ3,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X065_4,’065_4,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.YSL1M,”—À1Ã,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X064_28,’064_28,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.YVBYD2M,”¬¡”ƒ2Ã,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X064_17,’064_17,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X064_5,’064_5,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.YOBE1PBS,”Œ¡›1œ¡—,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X060_35,’060_35,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X060_24,’060_24,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X060_13,’060_13,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.RDNS2,–ƒÕ—2,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X057_1,’057_1,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.YPDNS1,”œƒÕ—1,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.YPZV1P,”œ«¬1œ,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.YVKLD6,”¬ Àƒ6,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X051_26,’051_26,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X050_36,’050_36,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X050_25,’050_25,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X050_14,’050_14,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.YBLDO,”¡ÀƒŒ,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X050_8,’050_8,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X049_40,’049_40,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.XRD1D1R,’–ƒ1ƒ1–,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.YOKYDK4,”Œ ”ƒ 4,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X046_1,’046_1,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.YONGD4,”ŒÕ√ƒ4,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X045_2,’045_2,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X044_3,’044_3,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.YNGD2R,”Õ√ƒ2–,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.YMP1W4BS,”Ãœ1ÿ4¡—,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X034_2,’034_2,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X031_17,’031_17,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X031_5,’031_5,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X028_41,’028_41,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X028_30,’028_30,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.YMPK12_2,”Ãœ 12_2,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.XRWSY1,’–ÿ—”1,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X024_1,’024_1,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X022_3,’022_3,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X020_28,’020_28,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X020_5,’020_5,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.YKO1B,” Œ1¡,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X018_31,’018_31,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.YKOSEP,” Œ—›œ,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X016_40,’016_40,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.Y5,”5,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X012_2,’012_2,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X011_19,’011_19,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.YOPRD,”Œœ–ƒ,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X011_3,’011_3,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.YBLSTT,”¡À—““,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.YMREK2,”Ã–› 2,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.H3249,H3249,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.XRK8D,X– 8D,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.H3205,H3205,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.H3238,H3238,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.XRK5A,X– 5A,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.XRK6B,X– 6B,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.H2259,H2259,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.H2215,H2215,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.XRK50,X– 50,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.KYBY20, ”¡”20,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.H221F,H221F,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.H4206,H4206,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X4KY17,’4 ”17,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.H4217,H4217,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.H121E,H121E,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.H120D,H120D,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.H1203,H1203,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.H5207,H5207,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.ZDNS12,ZƒÕ—12,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X3KY18,’3 ”18,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X3KY07,’3 ”07,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X2KY08,’2 ”08,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X2KY19,’2 ”19,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.ZVIPD1,Z¬»œƒ1,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X4KY06,’4 ”06,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.ZPK2BXP,Zœ 2¡’œ,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.YPPK21_1,”œœ 21_1,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X1KY09,’1 ”09,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.ZRBLON,Z–¡ÀŒÕ,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.XVM52,’¬Ã52,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.XVM41,’¬Ã41,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.XRK066,X– 066,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.ZSTSPY,Z—“—œ”,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X5KY05,’5 ”05,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.ZMKO2,ZÃ Œ2,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.XRK72,X– 72,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.ZCPM2,Z÷œÃ2,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.SSPY,S—œ”,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD._GLOBAL.XRK62,,BOOL,,,1,0,""
S5,,,,,1,8,""
DEVICE1.FBU_SFC_LD.FBU_SFC.FR009,,BOOL,,,1,0,""
7,,,,,1,8,""
DEVICE1.FBU_SFC_LD._GLOBAL.PNDK1,,BOOL,,,1,0,""
15,,,,,1,8,""
DEVICE1.FBU_SFC_LD.FBU_LD.__SRRU,__SRRU,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.__OGK3,__OGK3,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.__VVIPD,__VVIPD,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.__VVIPD1,__VVIPD1,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.__OND6,__OND6,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.__VDND2,__VDND2,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.STEN,S“≈Õ,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD._GLOBAL.SOPDO,,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.XA1O2,’A1Œ2,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X061_37,’061_37,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.XA2P2,’A2œ2,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.XB2O2,’B2Œ2,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X061_26,’061_26,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.XA2O1,’A2Œ1,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X061_15,’061_15,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.YDNS2_TM,”ƒÕ—2_“Ã,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X067_3,’067_3,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.YVYDM4,”¬”ƒÃ4,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X065_5,’065_5,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.YTOK1M,”“Œ 1Ã,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X064_29,’064_29,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.YVBYD1M,”¬¡”ƒ1Ã,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X064_6,’064_6,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X060_36,’060_36,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X060_25,’060_25,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X060_14,’060_14,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.YVBYP21,”¬¡”œ21,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.YPDNS2,”œƒÕ—2,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X057_2,’057_2,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X051_38,’051_38,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.YVIPD1,”¬»œƒ1,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X051_27,’051_27,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X050_37,’050_37,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X050_26,’050_26,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X050_15,’050_15,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X050_9,’050_9,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X049_41,’049_41,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X049_30,’049_30,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.YONGDK1,”ŒÕ√ƒ 1,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X047_1,’047_1,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X046_2,’046_2,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.YONGD5,”ŒÕ√ƒ5,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X045_3,’045_3,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X044_4,’044_4,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.YOKYD1,”Œ ”ƒ1,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.YNGD1R,”Õ√ƒ1–,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.XBONG,’¡ŒÕ√,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.YPW2BS_TM,”œÿ2¡—_“Ã,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.YPP2_TM,”œœ2_“Ã,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X036_1,’036_1,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X034_3,’034_3,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X031_18,’031_18,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.YPPK21_2,”œœ 21_2,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X028_31,’028_31,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X028_20,’028_20,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X4KY18,’4 ”18,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X025_1,’025_1,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.XRWSY2,’–ÿ—”2,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X022_4,’022_4,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.NK5B,Õ 5¡,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X020_29,’020_29,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X020_6,’020_6,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X019_22,’019_22,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X018_32,’018_32,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.Y6,”6,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X016_41,’016_41,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X016_30,’016_30,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X014_1,’014_1,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X012_3,’012_3,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X011_4,’011_4,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.YSTSPY,”—“—œ”,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X008_33,’008_33,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X008_22,’008_22,BOOL,,,1,0,""
DEVICE1.FBU_SFC_LD.FBU_LD.X008_11,’008_11,BOOL,,,1,0,""
