Source variable,Destination variable,Source member,Destination member,Element location
DEVICE1.FBU_LD.PROG1.ZVKLD5,DEVICE1.FBU_LD.PROG1.YVKLD5,,,"<LD>,(DEVICE1,FBU_LD,PROG1):1318:(1,2998),READING FROM,,DEVICE1.FBU_LD.PROG1.YVKLD5,,(0:0),3495,0,0,"
DEVICE1.FBU_LD.PROG1.X2KY6A,DEVICE1.FBU_LD.PROG1.ZVKLD6,,,"<LD>,(DEVICE1,FBU_LD,PROG1):232:(1,570),READING FROM,,DEVICE1.FBU_LD.PROG1.ZVKLD6,,(0:0),661,0,0,"
DEVICE1.FBU_LD.PROG1.X2KY6A,DEVICE1.FBU_LD.PROG1.YKYD6,,,"<LD>,(DEVICE1,FBU_LD,PROG1):1105:(1,2502),READING FROM,,DEVICE1.FBU_LD.PROG1.YKYD6,,(0:0),2924,0,0,"
DEVICE1.FBU_LD.PROG1.X2KY6A,DEVICE1.FBU_LD.PROG1.YKYD6R,,,"<LD>,(DEVICE1,FBU_LD,PROG1):1108:(1,2510),READING FROM,,DEVICE1.FBU_LD.PROG1.YKYD6R,,(0:0),2935,0,0,"
DEVICE1.FBU_LD.PROG1.X2KY0D,DEVICE1.FBU_LD.PROG1.ZOPDO,,,"<LD>,(DEVICE1,FBU_LD,PROG1):234:(2,576),READING FROM,,DEVICE1.FBU_LD.PROG1.ZOPDO,,(0:0),668,0,0,"
DEVICE1.FBU_LD.PROG1.ZZKYDK,DEVICE1.FBU_LD.PROG1.X2KY44,,,"<LD>,(DEVICE1,FBU_LD,PROG1):401:(2,958),READING FROM,,DEVICE1.FBU_LD.PROG1.X2KY44,,(0:0),1065,0,0,"
DEVICE1.FBU_LD.PROG1.ZZKYDK,DEVICE1.FBU_LD.PROG1.X2KY45,,,"<LD>,(DEVICE1,FBU_LD,PROG1):402:(2,960),READING FROM,,DEVICE1.FBU_LD.PROG1.X2KY45,,(0:0),1068,0,0,"
DEVICE1.FBU_LD.PROG1.ZZKYDK,DEVICE1.FBU_LD.PROG1.X2KY58,,,"<LD>,(DEVICE1,FBU_LD,PROG1):403:(2,962),READING FROM,,DEVICE1.FBU_LD.PROG1.X2KY58,,(0:0),1071,0,0,"
DEVICE1.FBU_LD.PROG1.ZZKYDK,DEVICE1.FBU_LD.PROG1.X2KY59,,,"<LD>,(DEVICE1,FBU_LD,PROG1):404:(2,964),READING FROM,,DEVICE1.FBU_LD.PROG1.X2KY59,,(0:0),1074,0,0,"
DEVICE1.FBU_LD.PROG1.ZKYBXP1,DEVICE1.FBU_LD.PROG1.YKYBXP1,,,"<LD>,(DEVICE1,FBU_LD,PROG1):1183:(2,2708),READING FROM,,DEVICE1.FBU_LD.PROG1.YKYBXP1,,(0:0),3165,0,0,"
DEVICE1.FBU_LD.PROG1.ZKYBXP1,DEVICE1.FBU_LD.PROG1.YKYBXP1,,,"<LD>,(DEVICE1,FBU_LD,PROG1):1252:(1,2864),READING FROM,,DEVICE1.FBU_LD.PROG1.YKYBXP1,,(0:0),3329,0,0,"
DEVICE1.FBU_LD.PROG1.ZKYBXP2,DEVICE1.FBU_LD.PROG1.YKYBXP2,,,"<LD>,(DEVICE1,FBU_LD,PROG1):1186:(2,2716),READING FROM,,DEVICE1.FBU_LD.PROG1.YKYBXP2,,(0:0),3175,0,0,"
DEVICE1.FBU_LD.PROG1.ZKYBXP2,DEVICE1.FBU_LD.PROG1.YKYBXP2,,,"<LD>,(DEVICE1,FBU_LD,PROG1):1254:(1,2868),READING FROM,,DEVICE1.FBU_LD.PROG1.YKYBXP2,,(0:0),3334,0,0,"
DEVICE1.FBU_LD.PROG1.X3KY1D,DEVICE1.FBU_LD.PROG1.ZPZV3,,,"<LD>,(DEVICE1,FBU_LD,PROG1):276:(1,672),READING FROM,,DEVICE1.FBU_LD.PROG1.ZPZV3,,(0:0),768,0,0,"
DEVICE1.FBU_LD.PROG1.X3KY04,DEVICE1.FBU_LD.PROG1.ZPOS1,,,"<LD>,(DEVICE1,FBU_LD,PROG1):281:(1,682),READING FROM,,DEVICE1.FBU_LD.PROG1.ZPOS1,,(0:0),778,0,0,"
DEVICE1.FBU_LD.PROG1.ZDNS1,DEVICE1.FBU_LD.PROG1.YPDNS1,,,"<LD>,(DEVICE1,FBU_LD,PROG1):1369:(1,3107),READING FROM,,DEVICE1.FBU_LD.PROG1.YPDNS1,,(0:0),3616,0,0,"
DEVICE1.FBU_LD.PROG1.ZDNS1,DEVICE1.FBU_LD.PROG1.YDNS1_TM,,,"<LD>,(DEVICE1,FBU_LD,PROG1):1542:(1,3459),READING FROM,,DEVICE1.FBU_LD.PROG1.YDNS1_TM,,(0:0),4017,0,0,"
DEVICE1.FBU_LD.PROG1.H1216,DEVICE1.FBU_LD.PROG1.X1KY16,,,"<LD>,(DEVICE1,FBU_LD,PROG1):321:(1,764),READING FROM,,DEVICE1.FBU_LD.PROG1.X1KY16,,(0:0),863,0,0,"
DEVICE1.FBU_LD.PROG1.XRK05,DEVICE1.FBU_LD.PROG1.X1KY19,,,"<LD>,(DEVICE1,FBU_LD,PROG1):327:(1,778),READING FROM,,DEVICE1.FBU_LD.PROG1.X1KY19,,(0:0),877,0,0,"
DEVICE1.FBU_LD.PROG1.XRKBB,DEVICE1.FBU_LD.PROG1.X4KY16,,,"<LD>,(DEVICE1,FBU_LD,PROG1):342:(1,809),READING FROM,,DEVICE1.FBU_LD.PROG1.X4KY16,,(0:0),909,0,0,"
DEVICE1.FBU_LD.PROG1.XRK4C,DEVICE1.FBU_LD.PROG1.X4KY08,,,"<LD>,(DEVICE1,FBU_LD,PROG1):352:(1,839),READING FROM,,DEVICE1.FBU_LD.PROG1.X4KY08,,(0:0),939,0,0,"
DEVICE1.FBU_LD.PROG1.H420A,DEVICE1.FBU_LD.PROG1.X4KY0A,,,"<LD>,(DEVICE1,FBU_LD,PROG1):353:(1,841),READING FROM,,DEVICE1.FBU_LD.PROG1.X4KY0A,,(0:0),941,0,0,"
DEVICE1.FBU_LD.PROG1.X4KY14,DEVICE1.FBU_LD.PROG1.YMPP1_1,,,"<LD>,(DEVICE1,FBU_LD,PROG1):873:(1,1981),READING FROM,,DEVICE1.FBU_LD.PROG1.YMPP1_1,,(0:0),2234,0,0,"
DEVICE1.FBU_LD.PROG1.X4KY14,DEVICE1.FBU_LD.PROG1.YMPP1_2,,,"<LD>,(DEVICE1,FBU_LD,PROG1):875:(1,1985),READING FROM,,DEVICE1.FBU_LD.PROG1.YMPP1_2,,(0:0),2240,0,0,"
DEVICE1.FBU_LD.PROG1.X4KY14,DEVICE1.FBU_LD.PROG1.YMPP2_1,,,"<LD>,(DEVICE1,FBU_LD,PROG1):877:(1,1989),READING FROM,,DEVICE1.FBU_LD.PROG1.YMPP2_1,,(0:0),2246,0,0,"
DEVICE1.FBU_LD.PROG1.X4KY14,DEVICE1.FBU_LD.PROG1.YMPP2_2,,,"<LD>,(DEVICE1,FBU_LD,PROG1):879:(1,1993),READING FROM,,DEVICE1.FBU_LD.PROG1.YMPP2_2,,(0:0),2252,0,0,"
DEVICE1.FBU_LD.PROG1.X4KY14,DEVICE1.FBU_LD.PROG1.YPPP1_1,,,"<LD>,(DEVICE1,FBU_LD,PROG1):913:(1,2061),READING FROM,,DEVICE1.FBU_LD.PROG1.YPPP1_1,,(0:0),2354,0,0,"
DEVICE1.FBU_LD.PROG1.X4KY14,DEVICE1.FBU_LD.PROG1.YPPP1_2,,,"<LD>,(DEVICE1,FBU_LD,PROG1):915:(1,2065),READING FROM,,DEVICE1.FBU_LD.PROG1.YPPP1_2,,(0:0),2360,0,0,"
